left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y,Lapdist
-192.4668545,371.9347368,-199.473646,361.1527271,-194.1513062,369.3427124,0
-191.0941173,371.0505636,-198.0989253,360.2691032,-192.7818146,368.4529419,1.63421179
-189.728582,370.1733141,-196.7341498,359.3906631,-191.4208221,367.5686951,3.257254896
-188.3804543,369.3036729,-195.3871997,358.521985,-190.0759583,366.6947021,4.860026314
-187.0511647,368.4481862,-194.0602373,357.668226,-188.7512817,365.8334045,6.437915349
-185.7428264,367.6044289,-192.7548197,356.8281834,-187.4473114,364.9849243,7.990264122
-184.4514047,366.7734413,-191.4671881,355.9990747,-186.1612854,364.147522,9.521739329
-183.1738402,365.9509802,-190.1924893,355.1778036,-184.888855,363.3185425,11.03809793
-181.9048984,365.1340455,-188.9262671,354.3631776,-183.6253357,362.494873,12.54373209
-180.6409448,364.3210494,-187.6634723,353.5502664,-182.3666687,361.6742249,14.04555605
-179.3795396,363.5090344,-186.4010118,352.7393597,-181.1099548,360.8548889,15.54601464
-178.118202,362.6983874,-185.1375831,351.9280121,-179.8533936,360.0359497,17.04752624
-176.8573739,361.8862064,-183.8732191,351.1166907,-178.5962524,359.21698,18.5498108
-175.5961238,361.0743919,-182.6085246,350.3008679,-177.3381195,358.3980713,20.05480878
-174.3334053,360.2624207,-181.3441863,349.4855554,-176.079071,357.57901,21.55923086
-173.0713479,359.4495858,-180.0777644,348.6682539,-174.8190918,356.7601929,23.06648209
-171.8082609,358.6365131,-178.8109753,347.8530063,-173.5583801,355.9414978,24.57292926
-170.5438389,357.8247504,-177.5428774,347.0383606,-172.2969513,355.1229858,26.08015186
-169.2794308,357.0122591,-176.2746965,346.2231189,-171.0348969,354.304718,27.58776644
-168.0146403,356.1991075,-175.0069737,345.4076647,-169.7722321,353.4865723,29.09511079
-166.7508885,355.384008,-173.7381322,344.5927693,-168.5090485,352.6686707,30.60309395
-165.4857468,354.5695959,-172.4697282,343.7783022,-167.2453156,351.8507996,32.1104775
-164.2202523,353.7555454,-171.2014422,342.9618505,-165.9810791,351.0331116,33.61883522
-162.9547683,352.9400926,-169.933139,342.146459,-164.7163391,350.2154236,35.12663367
-161.6892405,352.1248366,-168.6633227,341.3309819,-163.4511261,349.3979492,36.63575138
-157.8101763,349.6285888,-164.7766399,338.8341982,-159.5739288,346.8956909,41.2553003
-156.4905442,348.7794535,-163.4529555,337.9830725,-158.2541962,346.0446167,42.82900786
-155.1702792,347.9293481,-162.1312482,337.1329571,-156.9341888,345.1935425,44.40050595
-153.8493324,347.0799939,-160.8078653,336.2832642,-155.613678,344.3424683,45.97318528
-152.5274416,346.2304559,-159.4856958,335.4338616,-154.2928467,343.4912109,47.54468679
-151.2049674,345.3797356,-158.1653507,334.5852809,-152.9719238,342.6394653,49.11420915
-149.8842231,344.5255822,-156.8451047,333.7360537,-151.6508942,341.7872009,50.68399776
-148.5605194,343.6753796,-155.523498,332.8875469,-150.3296661,340.9344177,52.2545416
-147.2376716,342.8221237,-154.2012652,332.0409779,-149.0082397,340.0809021,53.82456665
-145.9131032,341.9704423,-152.8812299,331.1906567,-147.6867065,339.2266541,55.39477031
-144.5881113,341.1187484,-151.5582146,330.3422696,-146.3648682,338.3717041,56.96643505
-143.2623116,340.2665872,-150.2365294,329.4920151,-145.0427704,337.5159302,58.53798981
-141.9365113,339.4134716,-148.9133202,328.6421358,-143.7203827,336.6593933,60.11062379
-140.611111,338.5587739,-147.5892453,327.7919771,-142.3977203,335.8021545,61.68413705
-139.2847345,337.7048106,-146.2638857,326.9407651,-141.0746002,334.9442749,63.25930048
-137.9578342,336.8507746,-144.9380177,326.0901442,-139.7513428,334.085907,64.8345725
-136.6304865,335.9965225,-143.6116187,325.2378502,-138.4276123,333.2269592,66.41119528
